"","Season","Div","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","Team1P","Team1HomeW","Team1HomeD","Team1HomeL","Team1HomeGF","Team1HomeGA","Team1AwayW","Team1AwayD","Team1AwayL","Team1AwayGF","Team1AwayGA","Team1GD","Team1Pts","Team2P","Team2HomeW","Team2HomeD","Team2HomeL","Team2HomeGF","Team2HomeGA","Team2AwayW","Team2AwayD","Team2AwayL","Team2AwayGF","Team2AwayGA","Team2GD","Team2Pts"
"35",1,"E0","09/09/98","Leicester","Middlesbrough",0,1,"A",3,1,0,0,2,0,0,1,1,2,3,1,4,3,0,2,0,1,1,0,0,1,1,3,-2,2
"36",1,"E0","09/09/98","Liverpool","Coventry",2,0,"H",3,0,1,0,0,0,2,0,0,6,2,4,7,3,1,1,0,2,1,0,0,1,0,1,0,4
"37",1,"E0","09/09/98","Man United","Charlton",4,1,"H",2,0,1,0,2,2,0,1,0,0,0,0,2,3,1,0,0,5,0,0,2,0,0,0,5,5
"38",1,"E0","09/09/98","Tottenham","Blackburn",2,1,"H",3,0,0,1,0,3,1,0,1,2,3,-4,3,3,1,1,0,1,0,0,0,1,0,1,0,4
"39",1,"E0","09/09/98","West Ham","Wimbledon",3,4,"A",3,0,1,0,0,0,1,1,0,1,0,1,5,3,1,1,0,4,2,0,1,0,0,0,2,5
"40",1,"E0","12/09/98","Aston Villa","Wimbledon",2,0,"H",4,2,0,0,4,1,1,1,0,1,0,4,10,4,1,1,0,4,2,1,1,0,4,3,3,8
"41",1,"E0","12/09/98","Charlton","Derby",1,2,"A",4,1,0,0,5,0,0,2,1,1,4,2,5,4,1,1,0,1,0,0,2,0,1,1,1,6
"42",1,"E0","12/09/98","Chelsea","Nott'm Forest",2,1,"H",3,0,2,0,1,1,0,0,1,1,2,-1,2,4,1,0,1,1,2,1,0,1,3,3,-1,6
"43",1,"E0","12/09/98","Everton","Leeds",0,0,"D",4,0,1,1,0,1,1,0,1,2,2,-1,4,4,2,0,0,4,0,0,2,0,1,1,4,8
"44",1,"E0","12/09/98","Leicester","Arsenal",1,1,"D",4,1,0,1,2,1,0,1,1,2,3,0,4,4,1,1,0,2,1,0,2,0,0,0,1,6
"45",1,"E0","12/09/98","Man United","Coventry",2,0,"H",3,1,1,0,6,3,0,1,0,0,0,3,5,4,1,1,0,2,1,0,0,2,0,3,-2,4
"46",1,"E0","12/09/98","Newcastle","Southampton",4,0,"H",4,0,1,1,1,4,0,1,1,1,2,-4,2,4,0,0,2,2,4,0,0,2,0,8,-10,0
"47",1,"E0","12/09/98","Sheffield Weds","Blackburn",3,0,"H",4,0,0,2,0,2,1,0,1,3,1,0,3,4,1,1,0,1,0,0,0,2,1,3,-1,4
"48",1,"E0","12/09/98","West Ham","Liverpool",2,1,"H",4,0,1,1,3,4,1,1,0,1,0,0,5,4,1,1,0,2,0,2,0,0,6,2,6,10
"49",1,"E0","13/09/98","Tottenham","Middlesbrough",0,3,"A",4,1,0,1,2,4,1,0,1,2,3,-3,6,4,0,2,0,1,1,1,0,1,2,3,-1,5
"50",1,"E0","19/09/98","Coventry","Newcastle",1,5,"A",5,1,1,0,2,1,0,0,3,0,5,-4,4,5,1,1,1,5,4,0,1,1,1,2,0,5
"51",1,"E0","19/09/98","Derby","Leicester",2,0,"H",5,1,1,0,1,0,1,2,0,3,2,2,9,5,1,1,1,3,2,0,1,1,2,3,0,5
"52",1,"E0","19/09/98","Leeds","Aston Villa",0,0,"D",5,2,0,0,4,0,0,3,0,1,1,4,9,5,3,0,0,6,1,1,1,0,1,0,6,13
"53",1,"E0","19/09/98","Liverpool","Charlton",3,3,"D",5,1,1,0,2,0,2,0,1,7,4,5,10,5,1,0,1,6,2,0,2,1,1,4,1,5
"54",1,"E0","19/09/98","Middlesbrough","Everton",2,2,"D",5,0,2,0,1,1,2,0,1,5,3,2,8,5,0,2,1,0,1,1,0,1,2,2,-1,5
"55",1,"E0","19/09/98","Nott'm Forest","West Ham",0,0,"D",5,1,0,1,1,2,1,0,2,4,5,-2,6,5,1,1,1,5,5,1,1,0,1,0,1,8
"56",1,"E0","19/09/98","Southampton","Tottenham",1,1,"D",5,0,0,2,2,4,0,0,3,0,12,-14,0,5,1,0,2,2,7,1,0,1,2,3,-6,6
"57",1,"E0","19/09/98","Wimbledon","Sheffield Weds",2,1,"H",5,1,1,0,4,2,1,1,1,4,5,1,8,5,1,0,2,3,2,1,0,1,3,1,3,6
"58",1,"E0","20/09/98","Arsenal","Man United",3,0,"H",5,1,1,0,2,1,0,3,0,1,1,1,7,4,2,1,0,8,3,0,1,0,0,0,5,8
"59",1,"E0","21/09/98","Blackburn","Chelsea",3,4,"A",5,1,1,0,1,0,0,0,3,1,6,-4,4,4,1,2,0,3,2,0,0,1,1,2,0,5
"60",1,"E0","24/09/98","Man United","Liverpool",2,0,"H",5,2,1,0,8,3,0,1,1,0,3,2,8,6,1,2,0,5,3,2,0,1,7,4,5,11
"61",1,"E0","26/09/98","Aston Villa","Derby",1,0,"H",6,3,0,0,6,1,1,2,0,1,0,6,14,6,2,1,0,3,0,1,2,0,3,2,4,12
"62",1,"E0","26/09/98","Charlton","Coventry",1,1,"D",6,1,0,1,6,2,0,3,1,4,7,1,6,6,1,1,1,3,6,0,0,3,0,5,-8,4
"63",1,"E0","26/09/98","Chelsea","Middlesbrough",2,0,"H",5,1,2,0,3,2,1,0,1,5,5,1,8,6,0,3,0,3,3,2,0,1,5,3,2,9
"64",1,"E0","26/09/98","Everton","Blackburn",0,0,"D",6,0,2,1,0,1,1,1,1,4,4,-1,6,6,1,1,1,4,4,0,0,3,1,6,-5,4
"65",1,"E0","26/09/98","Newcastle","Nott'm Forest",2,0,"H",6,1,1,1,5,4,1,1,1,6,3,4,8,6,1,1,1,1,2,1,0,2,4,5,-2,7
"66",1,"E0","26/09/98","Sheffield Weds","Arsenal",1,0,"H",6,1,0,2,3,2,1,0,2,4,3,2,6,6,2,1,0,5,1,0,3,0,1,1,4,10
"67",1,"E0","26/09/98","Tottenham","Leeds",3,3,"D",6,1,0,2,2,7,1,1,1,3,4,-6,7,6,2,1,0,4,0,0,3,0,1,1,4,10
"68",1,"E0","27/09/98","Leicester","Wimbledon",1,1,"D",6,1,1,1,3,2,0,1,2,2,5,-2,5,6,2,1,0,6,3,1,1,1,4,5,2,11
"69",1,"E0","28/09/98","West Ham","Southampton",1,0,"H",6,1,1,1,5,5,1,2,0,1,0,1,9,6,0,1,2,3,5,0,0,3,0,12,-14,1
"70",1,"E0","03/10/98","Blackburn","West Ham",3,0,"H",7,1,1,1,4,4,0,1,3,1,6,-5,5,7,2,1,1,6,5,1,2,0,1,0,2,12
"71",1,"E0","03/10/98","Coventry","Aston Villa",1,2,"A",7,1,1,1,3,6,0,1,3,1,6,-8,5,7,4,0,0,7,1,1,2,0,1,0,7,17
"72",1,"E0","03/10/98","Derby","Tottenham",0,1,"A",7,2,1,0,3,0,1,2,1,3,3,3,12,7,1,1,2,5,10,1,1,1,3,4,-6,8
"73",1,"E0","03/10/98","Leeds","Leicester",0,1,"A",7,2,1,0,4,0,0,4,0,4,4,4,11,7,1,2,1,4,3,0,1,2,2,5,-2,6
